username,tweet,label
safrudi53158735,sekarang dah ditambah utk umroh dan haji buka,0
aureaarayaa,sinovac bnrn gabisa buat ke luar negeri kah,0
IbrahimAyob0805,alhamdulilah terima kasih yb memberi perhatian kpd jemaah umrah sinovac yg perlu b,0
JRKAceh,sabtu minggu puskesmas dan pustu di aceh utara tetap layani vaksinasi bisa pilih sinovac moderna,0
eclipstar_,baru aja selesai vaksin pake sinovac gabisa ke luar negeri dong tapi emang gaada duit juga sih,0
jemcotton_,ehh samaaa kita sinovac kita boleh pergi umrah cumanya kena amik rd dose as booster tuuu,0
nalendraprdm,lagian gue anak rumahan ga mungkin keluar negara sinovac cukup,0
Adrianxxzyh,di ceramahin bunda gara gara vaksin sinovac wkwkwk,0
mbarep_panji,wehh yg vaksin sinovac ga boleh keluar negri waduh ibu gua dulu batu bgt gua bilang vaksinnya nanti aja pas dulu s,0
iktibarikhlas,call china depa tak terima selain sinovac,0
WindaAp57133888,intinya mau vaksin modern atau pfizer tetap harus di booster bukan cuma sinovac aja,0
sekilasaceh,sabtu minggu puskesmas dan pustu di aceh utara tetap layani vaksinasi bisa pilih sinovac moderna,0
dandellilacs,iyaaa nerima kalo sinovac ada beberapa negara yang gak mengakui termasuk thailand makanya yang divaks,0
mahataee,puskesmas daerah ku rata2 sinovac kak bukan pfizer,0
saifulnang,yb kami mohon dipercepat booster shot pfizer bila pm umum boleh keluar negara kami yang dah hampir ta,0
kikincia,sinovac az apa pfizer aku lg otw dosis kedua wkwkwk hayaakuuuuneee dolan dolaaannn,0
SeputarPonorogo,link pendaftaran vaksin gratis di ponorogo tersedia kuota sinovac dosis segera hubungi kontak ini berit,0
Micasaeu,ya allah gue sinovac kmrn plis gue ada rncana mau keluar padahal tch mendokse,0
ariandhka,yang vaksin sinovac emang nggak boleh keluar negeri ya,0
dandellilacs,bener mana bekas disuntiknya sakit banget anjir tapi gpp bersakit sakit dahulu berenang renang kemudian,0
namkooksha,bisaaa tp booster ny ga sinovac,0
jikookpcaran,agak nyesel kenapa kemaren vaksin ga ikut yg disekolah malah ikut yang di luar kalo disekolah harusnya dpt yg pf,0
namulysian,gangerti sih tp ada yg bilang sinovac ga diterima di luar,0
serambinews,titik dimaksud di puskesmas dan puskesmas pembantu pustu dalam kecamatan di aceh,0
sequoiaderie,yaampun serius aku tim basic aka sinovac bisa apahhh,0
kthxkyn,sinovac susah d terima d luar negeri,0
Lantari7,komando distrik militer sleman bekerjasama dengan aparat terkait dan stakeholder kembali melaksanakan serbuan,0
reberrlatte,eh mau nanya dong kalo kita udah vaksin dua kali tapi yg sinovac nah bisa gak kalo vaksin lagi yg pfizer,0
grassontop,kalo dijerman vaksin sinovac gak diakuin sama negara yg diakuin ya moderna astra dan vaksin2 lokal sana,0
Junaidy_Hanafi,arab saudi pun sama melampau betul nak pergi mekkah orang yg ambil vaksin sinov,0
mieghaaaaa,ya allah sama semua pfizer weh i sorang je sinovac dah lah planning nak pergi umrah jugak insyaallah,0
jemcotton_,i dapat sinovac sebab tu gelabah teruk ni family member yg lain semua dalam comfort zone sbb dorang,0
maybecanbeyours,tambahan ya tergantung sama kebijakan negara juga di selain jepang juga ada yg accept pake sinovac,0
maybecanbeyours,ah intinya dia jadi kali gitu vaksinnya kalo buat ke jepang kalo ud,0
qomiyaoff,soalnya kalo sinovac ataupun vaksin indo tuh diluar negeri ga keitung jadi harus vaksin yg beredar di n,0
soulxmateu,beberapa negara ga terima vaksin sinovac saran gue lu tanya dulu udah coba hubungin kedutaan nya gak,0
bluebluethings,iyaaa bener kynya soalnya umroh jg gtutp nanti dikaish booster vaksin sesuai yg diterima dinegara di,0
vindhietama,gw sinovac yg pfizer adek gw efeknya demam juga sama pegel harian tangan,0
nand0___,iya beneran bbrp negara ada yg gk nerima sinovac soalnya made in china,0
